Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Symbiont_d13C,Symbiont_d15N,Symbiont_C_ug,Symbiont_wt-percent_C,Symbiont_wt-percent_C_num,Symbiont_N_ug,Symbiont_wt-percent_N,Symbiont_wt-percent_N_num,Symbiont_dry-weight_mg,Symbiont_dry-weight_ug,Symbiont_CN_molar-ratio
2015,ZM165,Symbiont,Galaxea,Shallow,Dhaalu,Hulhuvehi,-13.9,4.6,272.4,0.133,13.3,39.9,0.02,2,2.044,2044,8
2015,ZM167,Symbiont,Galaxea,Shallow,Dhaalu,Hulhuvehi,-14.6,5.2,498.4,0.232,23.2,77.5,0.036,3.6,2.151,2151,7.5
2015,ZM171,Symbiont,Pachyseris,Deep,Dhaalu,Maafushi,-13.8,4.8,342.2,0.171,17.1,56.3,0.028,2.8,1.997,1997,7.1
2015,ZM178,Symbiont,Pachyseris,Deep,Dhaalu,Maafushi,-13.2,4.9,447.6,0.217,21.7,70,0.034,3.4,2.065,2065,7.5
2015,ZM179,Symbiont,Pachyseris,Deep,Dhaalu,Maafushi,-14.8,5.7,534.7,0.255,25.5,78.6,0.038,3.8,2.093,2093,7.9
2015,ZM183,Symbiont,Galaxea,Deep,Dhaalu,Maafushi,-18,5,526.9,0.243,24.3,84.2,0.039,3.9,2.165,2165,7.3
2015,ZM184,Symbiont,Galaxea,Deep,Dhaalu,Maafushi,-19.2,4.5,532.9,0.256,25.6,78.5,0.038,3.8,2.081,2081,7.9
2015,ZM185,Symbiont,Galaxea,Deep,Dhaalu,Maafushi,-18.4,3.6,342,0.171,17.1,53.9,0.027,2.7,1.998,1998,7.4
2015,ZM186,Symbiont,Pocillopora,Shallow,Dhaalu,Maafushi,-13.8,6.4,477.1,0.228,22.8,72.4,0.035,3.5,2.089,2089,7.7
2015,ZM188,Symbiont,Pocillopora,Shallow,Dhaalu,Maafushi,-14.1,6.7,626.6,0.31,31,117.6,0.058,5.8,2.023,2023,6.2
2015,ZM189,Symbiont,Pocillopora,Shallow,Dhaalu,Maafushi,-14.3,6.5,422.9,0.211,21.1,72.8,0.036,3.6,2.005,2005,6.8
2015,ZM200,Symbiont,Galaxea,Shallow,Dhaalu,Maafushi,-17.1,3.6,577.6,0.286,28.6,106.6,0.053,5.3,2.021,2021,6.3
2015,ZM201,Symbiont,Pachyseris,Shallow,Meemu,Kurali,-16.7,4.7,521.9,0.256,25.6,70,0.034,3.4,2.035,2035,8.7
2015,ZM202,Symbiont,Pachyseris,Shallow,Meemu,Kurali,-11.5,4.8,224.7,0.11,11,22.2,0.011,1.1,2.039,2039,11.8
2015,ZM205,Symbiont,Pachyseris,Deep,Meemu,Bodu huraa,-14.2,6.3,436.6,0.211,21.1,50,0.024,2.4,2.071,2071,10.2
2015,ZM206,Symbiont,Pachyseris,Deep,Meemu,Bodu huraa,-12.2,6.1,263.5,0.126,12.6,27.2,0.013,1.3,2.094,2094,11.3
2015,ZM207,Symbiont,Pachyseris,Deep,Meemu,Bodu huraa,-14.6,6.6,633.1,0.307,30.7,82.2,0.04,4,2.059,2059,9
2015,ZM211,Symbiont,Galaxea,Deep,Meemu,Bodu huraa,-16.7,4.3,479.5,0.234,23.4,75.3,0.037,3.7,2.052,2052,7.4
