Year,Sample_ID_Host,Coral,Depth,Atoll,Site,d13C_Host,d15N_Host,C_ug_Host,C_wt-percent_Host,C_wt-percent-num_Host,N_ug_Host,N_wt-percent_Host,N_wt-percent-num_Host,dry-weight_mg_Host,dry-weight_ug_Host,CN_molar-ratio_Host,Sample_ID_Sym,d13C_Sym,d15N_Sym,C_ug_Sym,C_wt-percent_Sym,C_wt-percent-num_Sym,N_ug_Sym,N_wt-percent_Sym,N_wt-percent-num_Sym,dry-weight_mg_Sym,dry-weight_ug_Sym,CN_molar-ratio_Sym,d13C_host-sym,d15N_host-sym
2015,HM125,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.7,5.5,213.2,0.059,5.9,42.2,0.012,1.2,3.611,3611,5.9,ZM125,-16.3,5.3,732.5,0.361,36.1,135.7,0.067,6.7,2.028,2028,6.3,-1.4,0.2
2015,HM129,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-19.8,5.7,215,0.059,5.9,40.2,0.011,1.1,3.635,3635,6.2,ZM129,-19.2,4.0,558,0.278,27.8,67.4,0.034,3.4,2.009,2009,9.7,-0.6,1.7
2015,HM131,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-15.2,5.5,281.3,0.076,7.6,59,0.016,1.6,3.679,3679,5.6,ZM131,-15.1,4.5,450.1,0.217,21.7,72.8,0.035,3.5,2.077,2077,7.2,-0.1,1.0
2015,HM132,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-17.0,5.7,249.1,0.068,6.8,50.8,0.014,1.4,3.668,3668,5.7,ZM132,-15.0,5.0,387.7,0.188,18.8,46.6,0.023,2.3,2.064,2064,9.7,-2.0,0.7
2015,HM139,Pachyseris,Deep,Dhaalu,Hulhuvehi,-15.5,6.0,424.4,0.117,11.7,77.3,0.021,2.1,3.616,3616,6.4,ZM139,-14.8,6.0,664.1,0.33,33,61.5,0.031,3.1,2.014,2014,12.6,-0.7,0.0
2015,HM142,Pachyseris,Deep,Dhaalu,Hulhuvehi,-16.5,5.5,216.9,0.06,6,39.6,0.011,1.1,3.638,3638,6.4,ZM142,-16.0,5.8,475.6,0.236,23.6,51.5,0.026,2.6,2.019,2019,10.8,-0.5,-0.3
2015,HM143,Pachyseris,Deep,Dhaalu,Hulhuvehi,-16.5,5.3,298.3,0.083,8.3,52.6,0.015,1.5,3.613,3613,6.6,ZM143,-13.2,5.6,271.7,0.134,13.4,23.9,0.012,1.2,2.034,2034,13.3,-3.3,-0.3
2015,HM145,Galaxea,Deep,Dhaalu,Hulhuvehi,-17.1,6.0,327.6,0.091,9.1,66.5,0.018,1.8,3.62,3620,5.7,ZM145,-15.0,5.5,358.7,0.169,16.9,31.4,0.015,1.5,2.119,2119,13.3,-2.1,0.5
2015,HM146,Galaxea,Deep,Dhaalu,Hulhuvehi,-18.2,5.6,268.9,0.074,7.4,50.8,0.014,1.4,3.638,3638,6.2,ZM146,-17.7,5.9,466.4,0.227,22.7,73.5,0.036,3.6,2.056,2056,7.4,-0.5,-0.3
2015,HM148,Pocillopora,Deep,Dhaalu,Hulhuvehi,-18.8,5.3,265.9,0.072,7.2,56,0.015,1.5,3.675,3675,5.5,ZM148,-16.8,5.4,532.2,0.254,25.4,69.7,0.033,3.3,2.097,2097,8.9,-2.0,-0.1
