Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,d13C,d15N,C_ug,wt-percent_C,wt-percent_C_num,N_ug,wt-percent_N,wt-percent_N_num,dry-weight_mg,dry-weight_ug,CN_molar-ratio
2015,HM129,Host,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-19.8,5.7,215.0,0.059,5.9,40.2,0.011,1.1,3.635,3635,6.2
2015,HM131,Host,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-15.2,5.5,281.3,0.076,7.6,59.0,0.016,1.6,3.679,3679,5.6
2015,HM132,Host,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-17.0,5.7,249.1,0.068,6.8,50.8,0.014,1.4,3.668,3668,5.7
2015,HM139,Host,Pachyseris,Deep,Dhaalu,Hulhuvehi,-15.5,6.0,424.4,0.117,11.7,77.3,0.021,2.1,3.616,3616,6.4
2015,HM142,Host,Pachyseris,Deep,Dhaalu,Hulhuvehi,-16.5,5.5,216.9,0.060,6.0,39.6,0.011,1.1,3.638,3638,6.4
2015,HM143,Host,Pachyseris,Deep,Dhaalu,Hulhuvehi,-16.5,5.3,298.3,0.083,8.3,52.6,0.015,1.5,3.613,3613,6.6
2015,HM145,Host,Galaxea,Deep,Dhaalu,Hulhuvehi,-17.1,6.0,327.6,0.091,9.1,66.5,0.018,1.8,3.620,3620,5.7
2015,HM146,Host,Galaxea,Deep,Dhaalu,Hulhuvehi,-18.2,5.6,268.9,0.074,7.4,50.8,0.014,1.4,3.638,3638,6.2
2015,HM148,Host,Pocillopora,Deep,Dhaalu,Hulhuvehi,-18.8,5.3,265.9,0.072,7.2,56.0,0.015,1.5,3.675,3675,5.5
2015,HM152,Host,Pocillopora,Deep,Dhaalu,Hulhuvehi,-16.6,5.2,358.6,0.098,9.8,63.4,0.017,1.7,3.655,3655,6.6
2015,HM153,Host,Pocillopora,Deep,Dhaalu,Hulhuvehi,-19.3,5.4,281.3,0.077,7.7,58.1,0.016,1.6,3.645,3645,5.6
2015,HM155,Host,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-17.6,5.7,408.1,0.112,11.2,84.1,0.023,2.3,3.647,3647,5.7
2015,HM157,Host,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-15.9,5.9,350.5,0.097,9.7,76.4,0.021,2.1,3.612,3612,5.4
