Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Host_d13C,Host_d15N,Host_C_ug,Host_wt-percent_C,Host_wt-percent_C_num,Host_N_ug,Host_wt-percent_N,Host_wt-percent_N_num,Host_dry-weight_mg,Host_dry-weight_ug,Host_CN_molar-ratio
2015,HM124,Host,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.4,5.5,420.78,0.114,11.4,80.56,0.022,2.2,3.702,3702,6.1
2015,HM125,Host,Pocillopora,Shallow,South Ari,Dhiggaru Falhu,-17.7,5.5,213.23,0.059,5.9,42.18,0.012,1.2,3.611,3611,5.9
2015,HM129,Host,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-19.8,5.7,215.04,0.059,5.9,40.15,0.011,1.1,3.635,3635,6.2
2015,HM131,Host,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-15.2,5.5,281.3,0.076,7.6,59.03,0.016,1.6,3.679,3679,5.6
2015,HM132,Host,Galaxea,Shallow,South Ari,Dhiggaru Falhu,-17,5.7,249.06,0.068,6.8,50.83,0.014,1.4,3.668,3668,5.7
2015,HM139,Host,Pachyseris,Deep,Dhaalu,Hulhuvehi,-15.5,6,424.36,0.117,11.7,77.34,0.021,2.1,3.616,3616,6.4
2015,HM142,Host,Pachyseris,Deep,Dhaalu,Hulhuvehi,-16.5,5.5,216.9,0.06,6,39.61,0.011,1.1,3.638,3638,6.4
2015,HM143,Host,Pachyseris,Deep,Dhaalu,Hulhuvehi,-16.5,5.3,298.31,0.083,8.3,52.6,0.015,1.5,3.613,3613,6.6
2015,HM145,Host,Galaxea,Deep,Dhaalu,Hulhuvehi,-17.1,6,327.62,0.091,9.1,66.5,0.018,1.8,3.62,3620,5.7
2015,HM146,Host,Galaxea,Deep,Dhaalu,Hulhuvehi,-18.2,5.6,268.9,0.074,7.4,50.81,0.014,1.4,3.638,3638,6.2
2015,HM148,Host,Pocillopora,Deep,Dhaalu,Hulhuvehi,-18.8,5.3,265.89,0.072,7.2,56.04,0.015,1.5,3.675,3675,5.5
2015,HM152,Host,Pocillopora,Deep,Dhaalu,Hulhuvehi,-16.6,5.2,358.59,0.098,9.8,63.4,0.017,1.7,3.655,3655,6.6
2015,HM153,Host,Pocillopora,Deep,Dhaalu,Hulhuvehi,-19.3,5.4,281.3,0.077,7.7,58.11,0.016,1.6,3.645,3645,5.6
2015,HM155,Host,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-17.6,5.7,408.07,0.112,11.2,84.05,0.023,2.3,3.647,3647,5.7
2015,HM157,Host,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-15.9,5.9,350.51,0.097,9.7,76.39,0.021,2.1,3.612,3612,5.4
2015,HM158,Host,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-18.1,5.6,202.62,0.056,5.6,44,0.012,1.2,3.6,3600,5.4
2015,HM161,Host,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-16.2,4.4,361.4,0.1,10,63.98,0.018,1.8,3.623,3623,6.6
2015,HM162,Host,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-15.9,4.7,381.26,0.105,10.5,67.42,0.019,1.9,3.614,3614,6.6
2015,HM163,Host,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-16.8,4.5,326.18,0.089,8.9,59.86,0.016,1.6,3.655,3655,6.4
2015,HM165,Host,Galaxea,Shallow,Dhaalu,Hulhuvehi,-13.6,5.9,440.98,0.122,12.2,75.63,0.021,2.1,3.625,3625,6.8
2015,HM167,Host,Galaxea,Shallow,Dhaalu,Hulhuvehi,-14.8,5.7,453.08,0.125,12.5,74.31,0.02,2,3.629,3629,7.1
2015,HM169,Host,Galaxea,Shallow,Dhaalu,Hulhuvehi,-16.3,5.5,832.82,0.227,22.7,129.88,0.035,3.5,3.673,3673,7.5
2015,HM171,Host,Pachyseris,Deep,Dhaalu,Maafushi,-14.2,5.6,487.91,0.133,13.3,92.9,0.025,2.5,3.668,3668,6.1
2015,HM178,Host,Pachyseris,Deep,Dhaalu,Maafushi,-14.5,5.2,408.94,0.113,11.3,75.16,0.021,2.1,3.603,3603,6.3
2015,HM179,Host,Pachyseris,Deep,Dhaalu,Maafushi,-15.9,5.5,537.31,0.148,14.8,101.14,0.028,2.8,3.642,3642,6.2
2015,HM183,Host,Galaxea,Deep,Dhaalu,Maafushi,-18.1,5.7,204.42,0.056,5.6,40.5,0.011,1.1,3.647,3647,5.9
2015,HM184,Host,Galaxea,Deep,Dhaalu,Maafushi,-19.5,5.7,202.06,0.055,5.5,39.58,0.011,1.1,3.654,3654,6
2015,HM185,Host,Galaxea,Deep,Dhaalu,Maafushi,-18,6.1,524.92,0.144,14.4,99.76,0.027,2.7,3.651,3651,6.1
2015,HM186,Host,Pocillopora,Shallow,Dhaalu,Maafushi,-15,6.2,380.25,0.105,10.5,84.01,0.023,2.3,3.611,3611,5.3
2015,HM188,Host,Pocillopora,Shallow,Dhaalu,Maafushi,-15,6.2,268.71,0.074,7.4,55.02,0.015,1.5,3.631,3631,5.7
2015,HM189,Host,Pocillopora,Shallow,Dhaalu,Maafushi,-15.5,6.2,335.07,0.092,9.2,70.17,0.019,1.9,3.628,3628,5.6
2015,HM196,Host,Galaxea,Shallow,Dhaalu,Maafushi,-14.4,4.9,748.78,0.205,20.5,126.67,0.035,3.5,3.645,3645,6.9
2015,HM198,Host,Galaxea,Shallow,Dhaalu,Maafushi,-15.3,5.1,812.48,0.219,21.9,134.89,0.036,3.6,3.712,3712,7
